Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
1/2 Heavy Duty Air Reversible Drill,DB-D-440,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/en3A8F_kgVG7C22k9s8Xjw/XaviN0EfDIxVaRUDbB34YEE6h-ucPKBI9H8PwjDGBTNsuhIEu_gu00GbXdhJNQyc5tx37mqWhShD351nh4VxmTc0l3dod1HNbRg6t7v8ZVdRhvC6sXgRLbFH-LSH8YcJwYdIZxHslxrF1J8LwQoxMlaShhDB1PfpV3r-TczJIuM/jQ927pEU4IaA2uv_n92-kr-s4fGqJVwGba33GeeNI54),"Drill Cap.: 1/2, Free Speed (RPM): 700, Overall Length: 7.1/2 /190mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm/226L/min, Net Weight: 1.40Kgs / 3.08Lbs",INR 10860.00,25% off,90,Drebon,,"Heavy Duty, Air, Reversible, Drill, Power Tool",A heavy duty air-powered drill with reversible functionality for various drilling tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342208/zkaamscxxogyk7rvergt.png
3/8 Straight Type High Speed Air Drill Machine,DB-D-871,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/yTSYNZi9vfd8aMhQV-3q6Q/6IiUE5if_Yw8vXfyegTEXC80HU_o10jsnMn1yadLEw3w20zkDASbbGoFCJ3B-da13bUPxm73Izx7TnEN01pZd59aLDQpp3SSa7oV3tANhPxCDVBfcuZxnDuznWBNH9_LpXk-gdyl-jb_2QvdwtY0zgRTSHUaw1OsmP0lAiqC7-I/pjgbXsAV7Wnq9IHSYOrR3X8pMYGZizMzMCxFGoE63oA),"Drill Cap.: 3/8 / 10mm, Free Speed (RPM): 22,000, Overall Length: 8 /203mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 0.74Kgs / 1.63Lbs",INR 4980.00,25% off,90,Drebon,,"Air Drill, High Speed, Drill Machine, Straight Type, DB-D-871",This 3/8 inch straight type high speed air drill machine is designed for efficient drilling operations.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342209/l7szxuep4qzb9d7zzot6.png
3/8 Reversible Air Straight Drill With Jacob Chuck,DB-D-25(SD),Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/TbFDCv-XD9t3Ts-jgIMdsg/xtlsVONKHQONmcBUE2GZMyLLDGX6Y2SrgtS2S9JCsoFLolFAIPxRNR6gccq-N72x_ojwmogrnzW_8bByMpJ85M3GvpdOvZz8jfc05RBaXCO5B2JbPJW2mHmsbGQYwyNQnX_m5_lywVXDioyO5qG8Dt30rJjuSg2Au8gfOeIwlfo/LyFYI5LXFhfXB66dagzy5B48JNCh_jYx6WBB76rzeTw),"Drill Cap.: 3/8, Free Speed (RPM): 1,800, Overall Length: 8/203mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 6Cfm/170L/min, Net Weight: 1.10Kgs / 2.42Lbs",INR 6150.00,25% off,90,Drebon,,"Reversible Air Drill, Jacob Chuck, Air Tool, Drilling",A reversible air drill with a Jacob chuck for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342210/jzhvgz8tbwvusqkxlkzg.png
3/8 Reversible Air Angle Drill Machine,DB-AD-36R,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/WMhGt6UvqFEErQWoUAqjUQ/ytBOrLJ-nKcLKWOvDW3neBfIozsyJGSjPJFVZg4Pb43u1bZJfEV3e2WFjkLYyEsN5N2gg-BEQdiNVwh51J4dBXajlUfCrH2kCP-oMuzJJuMHATF4vpE33PP2VMXmVnbqTBaf0zhlirH9alKTaYzfjbVU2lWD_3Rs7laxf0442FY/xddLHzxlMUruudMwzbXRMldCGCKeX-IqgSjlc8SoRio),"Drill Cap.: 3/8, Free Speed (RPM): 1,800, Overall Length: 219mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 5Cfm/141L/min, Net Weight: 0.96Kgs / 2.10Lbs",INR 8590.00,25% off,90,Drebon,,"Reversible Air Angle Drill Machine, Air Drill, Angle Drill, Pneumatic Drill",A versatile reversible air angle drill machine for precision drilling in various materials.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342210/dm9kujmyvf8ixuaauqq0.png
16mm Industrial 4 Gear Driven Reversible Air Drill,DB-D-15,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/FvQTKJSz9qHENhezs-274w/amz2Kd9yoXQUW8u7a2s8uLb-ZdXTv_c1ZyCH7HR5Y2wONGqyDVahMkgGZ6xggeANe6EWhxqRiG2Ska9hzsBW4Az4g4Y4rj4HMzdBf29vXf_YveO-I5lZo-xf116f62dXdqYxMA8AJkIaH9A0-L2PktLu-DfLJbcFFuLpF7Lw0-0/IttzIvID5G8CDM3pxSgrHVqZ-lM3TpabKfdDuYwuwd0),"Drill Cap: 5/8 (16mm), Free Speed (RPM): 1,100, Air Inlet (Pt/Npt): 3/8, Air Hose (ID): 3/8, Avg. Air Consumption: 5Cfm/142L/min, Net Weight: 5.86Kgs / 12.92Lbs",INR 47355.00,25% off,90,Drebon,,"Industrial Air Drill, Reversible Drill, 16mm Drill, Gear Driven Drill",An industrial 16mm 4 gear driven reversible air drill.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342212/wyhb3x3nswmbbtctjora.png
3/8 Heavy Duty Air Reversible Drill,DB-D-43,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/yHbv2_qH63d6E7DM4LJ-sw/HCsGrnAv1JNbYX-GoD2SJkUt9oYpylOUBySnxAek_4NryJA6CByr8LkZtCuxDhHfBALkTJKr34oHWPHXP99RzGj3j75f4QyCcJcdCOsPLwpUwg4b149kvrofp73sTXG1f2bEUcgUCtyqSJJuczO4Vr68CvR74NponCa2wCZzBpU/34kyazYZWrdhqTsuyvqrfwwjOxTHTjtOaFSpFNyjas0),"Drill Cap.: 3/8, Free Speed (RPM): 1460, Overall Length: 6.1/2/165mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 1.35Kgs / 2.967Lbs",INR 3715.00,25% off,90,Drebon,,"3/8 inch, Heavy Duty, Air, Reversible, Drill",This heavy-duty air reversible drill is designed for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342212/nlpn58t755uevxz5ywlc.png
1/2 Heavy Duty Air Reversible Drill,DB-D-44,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/stuf6TZVTzi6xAAPi5Nqbw/Ay_PJ6Vyc_o5sK0_03EbdRY0GSWgC4nkcorpxWvPAnfqmHXqSP6d2kp7K3TyT0GhnZ5tXnQUPm1W3cTp0CRbVFlZL09EUBvKTzK9Ohhw4KlwOFG9sNKZ4HqO1lVItiAO4xSdTYlmwGfq6gqNb_TybbMwkWqRF6FK3cVePQlWnrc/LkhffDffpxIUZ5gshyFAzfHGH-wgv9SCjVlTaOdoQdU),"Drill Cap.: 1/2, Free Speed (RPM): 417, Overall Length: 7/180mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm/226L/min, Net Weight: 1.65Kgs / 3.60Lbs",INR 4335.00,25% off,90,Drebon,,"Heavy Duty, Air, Reversible, Drill, Pneumatic",A heavy-duty air-powered reversible drill for efficient drilling operations.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342213/hsualvh0ndfkxe7gydhh.png
19mm Industrial 4 Gear Driven Reversible Air Drill,DB-D-17,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/U7fajm-7OZLfYAljj9ehqw/QbP2Rzl3QP4zSy5FQcGGbkzWA7SKiLMTITo_-fOAddjFLPw6-weZnunTaz8olITO6ee_y_s3d_XKE7bLi93v2tssx96VZoJFjOWqHahK8MeFDhRhszKWFwqzyaAhnD3ALCoZQfPazME7mXx54qavC5qUB8hsCgwOVtN4IMVIvvU/CBHKwOHWEarfIJVzoGR5CAr2CSgWCDkzw-eyvkg8UrI),"Drill Cap.: 3/4 (19mm), Free Speed (RPM): 1,000, Overall Length: 15/380mm, Air Inlet (Pt/Npt): 3/8, Air Hose (ID): 3/8, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 4.60Kgs / 10.10Lbs",INR 48460.00,25% off,100,Drebon,,"19mm, Industrial, 4 Gear Driven, Reversible, Air Drill, Drill",An industrial-grade 4-gear driven reversible air drill for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342214/hnlmmz6arllzxqixhw2o.png
16mm Industrial 4 Gear Driven Reversible Air Drill,DB-D-16,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/kfAvAYuFXThgMuCQCmKOlQ/4fcki7k7w_6Aq5kyJAkx_QPL6YpqFr_HMCgeHP3a9VCeqSjCms6CFROatZZHkJEY36tkDi9xuzggVgqauSInzlgUEUGnNQ0w7cl0owMTDG4iffBdhrz0L4qyU0oM42K0EDZcLBw-PaWomLm4TdeOmJtIcbqJmbfFn5OAAZHAvik/gQMALiR7Med-UCKG9NylkQa_OnBMmO_QJ7Fy-848f08),"Drill Cap.: 5/8 (16mm), Free Speed (RPM): 1,000, Overall Length: 15/380mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 3Cfm, Net Weight: 4.60Kgs / 10.10Lbs",INR 44965.00,25% off,100,Drebon,,"16mm drill, industrial drill, 4 gear drill, reversible air drill, air drill",This 16mm industrial 4 gear driven reversible air drill is suitable for heavy-duty drilling tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342215/w7r4uwiihamnscgkjmri.png
Heavy Duty Clutch Type Tapping Tools,DB-TP-401,Tapper,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/tUWnO5r1UO9k79BP5a-vow/j4ZDHmnb3EeU66pgajSZyALD-jxGT0ee0O44cOPs4CuqkOVgEiBFwVV9jQBpuBPQQRiAUE9c2_Y9CgEjPbi2VsYHXkgPS9VDH7YfZ3rlLUn7FeHP92A-j6kQX-fUeaHcxWePKaPcNZTyrNhDYDOWXvnBS7uYtPD4nHFwWzyRFRU/eRx924-cDMZIn1SmFjGUzd9XKL3-2fOvHYnLbi6Frx4),"Tapping Cap. Alluminium: 3-10mm, Copper: 3-10mm, Iron: 3-8mm, Free Speed (RPM): 2,500, Overall Length: 8.9/10/215mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 7Cfm/198L/min, Net Weight: 1.36Kgs / 3.00Lbs",INR 14720.00,25% off,100,Drebon,,"Heavy Duty, Clutch Type, Tapping Tool, Tapper, Pneumatic","This heavy-duty clutch type tapping tool is designed for precision tapping in aluminium, copper, and iron.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342216/h5ouoo4wj9vuyuczqydv.png
Heavy Duty Gear Driven Tapping Tools,DB-TP-400,Tapper,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/9TlDatu3FJwsM-DDcals7Q/zmpYUyiFcDOhthO6TRp8OKUqBjbQKLAKGxJOpYBYY8OAOIEGoyj_nRDyBcH8K9aWLdcSudRFeu2Gp7pye9jGWErESYlfiFO0fuicQKJhWpS6cs5Ne7h_8uKHChYRud0k3mUiXb55BemBLsZRm5fuj6owYh3Ojca46y3Yzk3d1xM/YcPCoM2Q8S-BAToXabuiBWDxsRPwCCNscKUXM_7b5nE),"Tapping Capacity Aluminium: 6-12mm, Tapping Capacity Copper: 6-12mm, Tapping Capacity Iron: 6-8mm, Free Speed: 150 RPM, Overall Length: 9.7/10/245mm, Air Inlet: 1/4 inch, Air Hose ID: 3/8 inch, Average Air Consumption: 7Cfm/198L/min, Net Weight: 1.90Kgs / 4.19Lbs",INR 22250.00,25% off,100,Drebon,,"Heavy Duty, Gear Driven, Tapping Tools, Tapper, Aluminium tapping, Copper tapping, Iron tapping","This tool is designed for heavy-duty gear-driven tapping operations on various materials like aluminum, copper, and iron.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342217/zm6la1cp9vqpogbdhijz.png
1/4 Heavy Duty Clutch Type Air Screwdriver,DB-SD-401A,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/JWDDDb0w3j1VqqNLiV6blA/nlzrBVDzH9NLWze5bC9PmCbtmT6DEI07rNwH_l5b-ZJuiBq6isn73Hw-xNtFkVf0Ulq6VRA7a5T8g-wdWGNOi0TS2BiUVNHoOo5STKtTCJpjZbe_GgWEijerYOBjT8RgiIq_vJfL_LCWuxgSGaPYsX7DgSqt_nQOSYVxvUUgGfs/K4li5E25fBH4LzInlQHolTvNRotOriW3bPvo2p97_ko),"Hex Shank Size: 1/4, Capacity (Bolt Size): 1/8-5/32 (3-4m), Free Speed (RPM): 14,000, Max. Torque: 663.80in-Lb / 75nM, Overall Length: 7.3/4/195mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.87Kgs / 1.91Lbs",INR 2310.00,25% off,100,Drebon,,"Heavy Duty, Clutch Type, Air, Screwdriver, Pneumatic",A heavy-duty air-powered screwdriver with a clutch mechanism designed for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342218/auen1fgnyuellgwy3xgl.png
1/4 Heavy Duty Clutch Type Air Screwdriver,DB-SD-40A,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Wraz-LP6l_bFMD8rCUZ_Jg/u6Mc0P_M_oV6RaaHYQlhNQxazxihcE16uGm_Wdv6UVu24PrMrkC7FMx_k9P6ukPpt5dabVEIOJt2IuF698r1DnJbtwt_z0K0Gg9mXDqIvNUT-iEHig72veHCOhvepUp635BJEwQEizbRtMxN7kfyS1yE4n0uqIDexEEK8Jq19Hs/xj4bGWMe-K5_dB8Wy3Pe23xw5OdLA3m8Io6mpGfcLXQ),"Hex Shank Size: 1/4, Capacity (Bolt Size): 1/8-5/32 (3-4m), Free Speed (RPM): 12,000, Max. Torque: 486.79in-Lb / 55nM, Overall Length: 9.1/4/235mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.61Kgs / 1.34Lbs",INR 1960.00,25% off,100,Drebon,,"Air Screwdriver, Heavy Duty, Clutch Type, Screwdriver",A heavy-duty clutch type air screwdriver for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342219/ejrn4rtiffha97jhk1ze.png
1/4 Heavy Duty Double Hammer Air Screwdriver,DB-SD-88H,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/cp0jbEpbMaBUXbTD7T3YlQ/0SyXefJPJiDm9_-AESobTV7YA7aiPqEVu9-ffjRfa2wp28xLgEYZ2JYcSFWS2q5WKerC7LfATGt2n3IDXsF8sB6BPBz-5s87BoIkQpHDf6qkX5bbTh8ReBhnwJ4D4LNLzLlGfKTiyHPvB3i2HhOweNUDCpaUxI-GIUiN-5R78KA/rYY8G-prsVh8AF-fIKOBXdlcSSyLE8j2NHbEbUXAyZQ),"Hex Shank Size: 1/4, Capacity (Bolt Size): 6-8mm, Free Speed (RPM): 10000, Max. Torque: 44ft-Lb / 60nM, Overall Length: 9.1/4/235mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.61Kgs / 1.34Lbs",INR 2940.00,25% off,100,Drebon,,"Heavy Duty, Double Hammer, Air Screwdriver, 1/4 inch shank, 6-8mm bolt capacity, 10000 RPM, 44ft-Lb torque",This air screwdriver is designed for driving and removing screws and fasteners with powerful double hammer action.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342219/ki1q1dpn74ga3qljeina.png
1/4 Heavy Duty Double Hammer Air Screwdriver,DB-SD-99H,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/wiCjhg4pvoj3pnGkEYqhig/jpJ9BGORADlYW4NMn79jY6mwO1LtiuDXyYO8CRQG0zt41Njil7HdSBWfOF1W6aYlhGajP-obIUFGNS6ibEmz6nepk11TzH3zKb-FA3i7JKNNncF5-kSXep1jM2aFjTzwDbYLs-FscMeq_fV5U4iLhLMdcl7nQttlpr3wECpMKs0/0F37ZOoO1NDsEI9CndV87941vjIkwh2MpgeIPm-dogM),"Hex Shank Size: 1/4, Capacity (Bolt Size): 1/8-5/32 (3-4m), Free Speed (RPM): 12,000, Max. Torque: 486.79in-Lb / 55nM, Overall Length: 9.1/4/235mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.61Kgs / 1.34Lbs",INR 4180.00,25% off,100,Drebon,,"Air Screwdriver, Heavy Duty, Double Hammer, Pneumatic Screwdriver",A heavy-duty air-powered screwdriver designed for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342220/tiupqmdhu00mpytl6shn.png
1/4 Heavy Duty Air Angle Impact Screwdriver,DB-SD-510L,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/ni2ahL6ClvnCjtefIzPekw/OIg3i1K5_JlcXiUYtuZ3XSzEJEq-ehQ4Wmo9khCqirhJbPIz7fM6hZKE_iYZFIO4BDZsPez3ToVPaH4-AOsuWfcv3_ct35xzH4fliYNuEQcCtM-ktTlvYHSl-LiGNSULd0BQdPMHxOgF-NOIxIorCtufM2oh9cm43IZunqplv9o/lQtJRjvs1gdZAq-tNYtPKQV2mUICDHm_lVJVYxy6UEI),"Hex Shank Size: 1/4, Capacity (Bolt Size): 4-5mm, Free Speed (RPM): 12,000, Max. Torque: 33Ft-Lb / 45nM, Overall Length: 8.66/220mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 8Cfm/226L/min, Net Weight: 1.10Kgs / 2.861Lbs",INR 4650.00,25% off,100,Drebon,,"Heavy Duty Air Angle Impact Screwdriver, Air Screwdriver, Impact Driver",Used for driving screws and fasteners with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342221/y7w8mw4tgbjtbqeqcfdj.png
1/4 Industrial Twing Hammer Mech. Impact Screwdriver,DB-SD-60A,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/1qeEj8dzfTABtoQxrzF9MQ/ZtZhTUOhUvwDiFApmWYnwR8E9I95-zrEFIKvICkAMJzTkEIV8VeSSwKLjK8ZipvVgBX0f0eMgkhLnIuT9QdZSlmPUj0tLlwtCpVruAgBOo1VQosp_sOXgVOx6iBVgBZSVZh3KEnIaCt47KUvPV_c2rv41SudU6i1ErIQ7fq3DCo/DsKxNnflEXPa4M0XRJrCxJIeuEytAvdjbGTs9Um-_r0),"Hex Shank Size: 1/4, Capacity (Bolt Size): 5/32-1/4 / 4-6m, Free Speed (RPM): 10,000, Max. Torque: 30Ft-Lb / 35nM, Overall Length: 7/178mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.79Kgs / 1.74Lbs",INR 4880.00,25% off,100,Drebon,,"Industrial, Twing Hammer, Mech. Impact Screwdriver, Screwdriver",An industrial mechanical impact screwdriver with a twing hammer mechanism for various applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342222/uw0cyzm95dolyvbn0tan.png
1/4 External Type Adj. Clutch Air Screwdriver,DB-SD-501RY,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/VHdjERDBqa649fVOESmb3A/6dfi1Ml6wYXctkjhP3oHnwANtB2PSe90BxsRbbxlUgBjahKKw9TCx4fIv365FvxvsqSgObevJ1-VCKCY8FB93oalxefyQ9Iww0hq7w_zHm3yUuuAyGLJSFdSVMNjRNsMGh3-n65Q94h4znLcMHkIN5JBmTY9e5H-LykUAhkrmL8/utG6ZLV6a4GaGzq1oyCKvm6thCIk9DwzAsmKwHIRDCc),"Hex Shank Size: 1/4, Capacity (Bolt Size): 2.5-4.0mm, Free Speed (RPM): 1,000, Max. Torque: 3-17Kgs/Cm, Overall Length: 9/230mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 3Cfm/85L/min, Net Weight: 0.67Kgs / 1.50Lbs, Push To Start-Shut Off Max. Torque: 17Kgs/Cm",INR 5405.00,25% off,110,Drebon,,"Air Screwdriver, Clutch Screwdriver, Adjustable, Push To Start, Shut Off, 1/4 Shank, Pneumatic Screwdriver",An adjustable clutch air screwdriver with push-to-start and shut-off functionality for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342223/hot0ltkxvvknmwzbeh6r.png
1/4 Pistol Type Double Hammer Mech Impact Screwdriver,DB-SD-68,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Cntg28QNUZRncS3fW-2ASw/nfj9QSkso0dhXzxqXLBVhOfA-sFVSHAEou2fByVvOP4OPuKpOaNkkQ3YGMF-1_4prwL-Y99M9EXlPpnSlOf2syu4M1RWZZinlWRGydpSvPB1dq4ABUseH5rY_Kmljk3YfGrmlGTjSAIuEDKkbtfD-_YuqkkkXgheqsXpAazLA9M/e79SrNLXogl1lfrU8A9x-1iR6c09xVkaypwKmyT5kcM),"Hex Shank Size: 1/4, Capacity (Bolt Size): 6-8mm, Free Speed (RPM): 8,500, Max. Torque: 133Ft-Lb / 180nM, Overall Length: 6.42 / 163mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 2Cfm / 56.60L/min, Net Weight: 1.55Kgs / 3.41Lbs",INR 5730.00,25% off,110,Drebon,,"Pistol Type, Double Hammer, Impact Screwdriver, Mech Impact, Air Screwdriver",This 1/4 pistol type double hammer mechanical impact screwdriver is designed for efficient fastening and loosening of screws with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342224/l0rkknx9dwrueskj4cx2.png
DB-IW-601-SD,DB-IW-601-SD,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/maHmBBN5eTuD72P55SOKZQ/_ik-QonizfzKDuUAsHNvmc4wHwhhP8MUq3HblGrABFA2YxYw28Ji6tY-SgVqYag57ID4rom3CuXz8D7RnGqCynYBBhpuNupHs6yameIPTRah9wp4en4jM2V84MVNEd8JaOs83mUNqMxj-YsKVZwi8nDV95nBvJDC87kLXbbilto/590op_rDb8T0T2CCZ86O_Y8ztayMclDklGPp1T6c0wQ),"Bit Holder: 1/4, Capacity (Screw Size): UPTO M12, Free Speed (RPM): 9,000, Max Torque: 258Ft-Lb/350NM, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm, Net Weight: 2.00Kgs / 4.41Lbs",INR 5800.00,25% off,110,Drebon,,"Impact Wrench, Air Tool, Pneumatic, Torque Wrench, Fastening",Used for high-torque fastening and loosening of nuts and bolts.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342225/dwzm8mzfbijunrm39usy.png
1/4 Heavy Duty Clutch Type Air Screwdriver,DB-SD-50A,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/mff2qQfaYchmwM2zMhwwYw/gjHjutL8ozP2jwe5BWqwIImefc9sCoqhfjZxdgGOS-UE1uRUZG-WaOoN86F34tmwHFZp4stFaKnrSdc7r-bK0SFRudvSI_5nGkTT0fYMmZG0ReAWFlUvUDKvr0-zxksupZK_5fmU0f9n_sXyofVothYP8YgFo3FM4s1GOCu8n5s/Hb2YIPLv7MmDxhZjfmnhDHvxj-RpTBMiOeOorYa0EVQ),"Hex Shank Size: 1/4, Capacity (Bolt Size): 1/8-5/32 (3-4m), Free Speed (RPM): 1,700, Max. Torque: 26.4in-Lb / 3nM, Overall Length: 9.1/4 / 235mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 3Cfm / 85L/min, Net Weight: 0.61Kgs / 1.34Lbs",INR 6000.00,25% off,110,Drebon,,"Air Screwdriver, Heavy Duty, Clutch Type, DB-SD-50A",This air screwdriver is designed for driving screws with precision and power.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342226/pwir0fs41d3n5rj2yb1c.png
Mech. Screwdriver,DB-SD-80,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/WMrnMwxLNn9BnJ3XhJt8eQ/0YVEgymiXcfRWwTln1ASO-bwUPRT1kzkhC5PiVtEcPfMvu7UtOM8CTvHEP4LKAmOWIb_rpHImkAIT2K30fq4NCDYt8jYsdEl0qjfWerP4xC3aB_5wfDDMJX4R0bPeRdglRGlQZ8tGDOnfoJO9eaHmGI_72boR9TRoTKjcAztejg/7jM-QKat8O6vnGA_cxXwmLCUDx2ZAuVLNNg2TN-uBkI),"Hex Shank Size: 1/4, Capacity (Bolt Size): 1/4 / 6.35mm, Free Speed (RPM): 1,800, Max. Torque: 45-115in-Lb, Overall Length: 7/178mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 6Cfm/226L/min, Net Weight: 1.10Kgs / 2.50Lbs",INR 6010.00,25% off,110,Drebon,,"Mech Screwdriver, Internal Torque Adj. Clutch, Air Screwdriver, Power Tool",This is a 1/4 Internal Torque Adj. Clutch Mech. Screwdriver.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342227/xnsx1mdnyn3vkyrprqog.png
1/4 Pistol Type Twin Hammer Mech Impact Screwdriver,DB-SD-601A,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/SU2alhqhSWQPIVjIzxD5dA/75seGUHhSWAFzZ-NbaZ7W5FDT42GznIwX3v1RkkPSRFnzgj2z8AlV3Uz0jMEU3x3mKZ2QsEYaXHu6g2vanbpff5LPq5U79AJrj-640H4DSXWd0s_RAmKFZtiOTpI_mOP_RzJhKHEfSwS8scv8ysGNKhEIwJ0g1YLCYaPW87lbsQ/qqnycykR1nc4Cr_PLYlim_V3U0LWsneDpY54jLRwpxs),"Hex Shank Size: 1/4, Capacity (Bolt Size): 4-5mm, Free Speed (RPM): 12,000, Max. Torque: 75Ft-Lb / 101.70nM, Overall Length: 6/155mm, Air Inlet (Pt/Npt) / Air Hose (ID): 1/4 / 1/4, Avg. Air Consumption: 2Cfm/56.60L/min, Net Weight: 0.86Kgs / 1.90Lbs",INR 6490.00,25% off,110,Drebon,,"Pistol Type, Twin Hammer, Impact Screwdriver, Air Screwdriver, Pneumatic Screwdriver",A powerful pistol type twin hammer impact screwdriver suitable for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342228/hkv82hlgwfajs4ohowol.png
